id,addr
0,160 pearl st new york ny 10005
1,103 w 77th st new york ny 10024
2,608 9th ave new york ny 10036
3,1329 2nd ave new york ny 10021
4,488 8th ave new york ny 10001
5,922 3rd ave new york ny 10022
6,102 canal st new york ny 10002
7,70 prince st new york ny 10012
8,135 1st ave new york ny 10003
9,1593 2nd ave new york ny 10028
10,251 w 50th st new york ny 10019
11,240 e 9th st new york ny 10003
12,130 saint marks pl new york ny 10009
13,60 wall st lbby 3 new york ny 10005
14,560 5th ave new york ny 10036
15,105 avenue a new york ny 10009
16,22 warren st new york ny 10007
17,515 grand st new york ny 10002
18,213 front st new york ny 10038
19,116 e 4th st new york ny 10003
20,4 charles st new york ny 10014
21,21 mott st # a new york ny 10013
22,157 e 28th st new york ny 10016
23,269 11th ave new york ny 10001
24,250 w 50th st new york ny 10019
25,46 mulberry st #a new york ny 10013
26,428 amsterdam ave new york ny 10024
27,345 e 83rd st new york ny 10028
28,244 e 46th st new york ny 10017
29,1590 1st ave new york ny 10028
30,1399 madison ave new york ny 10029
31,665 9th ave new york ny 10036
32,14 bedford st new york ny 10014
33,145 e 49th st new york ny 10017
34,101 maiden ln new york ny 10038
35,39 broadway new york ny 10006
36,62 charles st new york ny 10014
37,235 sullivan st new york ny 10012
38,244 canal st new york ny 10013
39,888 broadway new york ny 10003
40,311 w 51st st # 1 new york ny 10019
41,185 orchard st new york ny 10002
42,138 w 46th st new york ny 10036
43,1350 avenue of the americas ste 66 new york ny 10010
44,22 w 45th st new york ny 10036
45,1634 york ave new york ny 10028
46,544 w 27th st new york ny 10001
47,4195 broadway frnt 1 new york ny 10033
48,310 w broadway new york ny 10013
49,141 1st ave new york ny 10003
50,151 rivington st new york ny 10002
51,171 e broadway new york ny 10002
52,48 e 7th st new york ny 10003
53,47 e 42nd st new york ny 10017
54,317 e 53rd st new york ny 10022
55,232 e 29th st new york ny 10016
56,327 1st ave new york ny 10003
57,1047 2nd ave new york ny 10022
58,32 cliff st # 1 new york ny 10038
59,2 great jones st new york ny 10012
60,226 e 51st st new york ny 10022
61,102 norfolk st new york ny 10002
62,54 w 13th st new york ny 10011
63,44 w 63rd st new york ny 10023
64,111 lafayette st new york ny 10013
65,623 9th ave new york ny 10036
66,122 christopher st new york ny 10014
67,70 w 68th st new york ny 10023
68,529 broome st new york ny 10013
69,18 e broadway new york ny 10002
70,144 e broadway new york ny 10002
71,197 madison st ste c new york ny 10002
72,49 clinton st new york ny 10002
73,88 w 3rd st new york ny 10012
74,319 w 51st st new york ny 10019
75,66 wall st new york ny 10005
76,78 2nd ave new york ny 10003
77,1619 york ave frnt 1 new york ny 10028
78,123 ludlow st new york ny 10002
79,642 9th ave new york ny 10036
80,40 prince st new york ny 10012
81,65 bayard st new york ny 10013
82,94 prince st new york ny 10012
83,214 e 10th st # b new york ny 10003
84,3 greenwich ave new york ny 10014
85,112 greenwich ave new york ny 10011
86,1582 york ave new york ny 10028
87,27 avenue b new york ny 10009
88,9 e 17th st new york ny 10003
89,265 1st ave new york ny 10003
90,94 1/2 greenwich st new york ny 10006
91,102 8th ave new york ny 10011
92,95 7th ave s new york ny 10014
93,217 e 49th st new york ny 10017
94,49 carmine st new york ny 10014
95,20 e 50th st new york ny 10022
96,89 fulton st new york ny 10038
97,1 w 8th st new york ny 10011
98,140 west st new york ny 10007
99,1143 1st ave new york ny 10065
100,546 laguardia pl new york ny 10012
101,519 3rd ave new york ny 10016
102,827 w 181st st new york ny 10033
103,3 doyers st frnt 1 new york ny 10013
104,1324 2nd ave frnt 1 new york ny 10021
105,776 9th ave new york ny 10019
106,307 e 77th st new york ny 10075
107,358 w 23rd st new york ny 10011
108,104 2nd ave new york ny 10003
109,35 w 20th st frnt a new york ny 10011
110,305 church st new york ny 10013
111,156 e 64th st new york ny 10065
112,540 2nd ave new york ny 10016
113,128 10th ave new york ny 10011
114,507 e 6th st new york ny 10009
115,52 stone st new york ny 10004
116,1540 2nd ave new york ny 10028
117,28 bowery new york ny 10013
118,174 e 82nd st # 1 new york ny 10028
119,47 e broadway new york ny 10002
120,11 broadway new york ny 10004
121,391 e 6th st new york ny 10003
122,249 broome st new york ny 10002
123,138 w houston st new york ny 10012
124,193 columbus ave new york ny 10023
125,11 stone st new york ny 10004
126,1270 amsterdam ave new york ny 10027
127,344 w 46th st new york ny 10036
128,28 cliff st new york ny 10038
129,986 2nd ave new york ny 10022
130,1 university pl new york ny 10003
131,233 e 34th st new york ny 10016
132,140 w 4th st frnt a new york ny 10012
133,239 e 5th st new york ny 10003
134,105 1st ave new york ny 10003
135,30 e 33rd st # a new york ny 10016
136,120 e 34th st new york ny 10016
137,157 2nd ave new york ny 10003
138,677 lexington ave frnt c new york ny 10022
139,25 henry st new york ny 10002
140,67 mott st # a new york ny 10013
141,1 e broadway new york ny 10038
142,130 w 47th st new york ny 10036
143,647 9th ave new york ny 10036
144,1490 saint nicholas ave new york ny 10033
145,157 duane st frnt 1 new york ny 10013
146,54 e broadway # 5 new york ny 10002
147,119 e 96th st new york ny 10128
148,671 9th ave # a new york ny 10036
149,97 1st ave new york ny 10003
150,72 park ave new york ny 10016
151,174 lexington ave frnt 1 new york ny 10016
152,371 grand st new york ny 10002
153,50 e 42nd st ste 2601 new york ny 10017
154,26 astor pl new york ny 10003
155,145 mulberry st new york ny 10013
156,105 hudson st new york ny 10013
157,264 bleecker st new york ny 10014
158,357 w broadway new york ny 10013
159,275 greenwich st new york ny 10007
160,325 w 57th st new york ny 10019
161,31 w 8th st new york ny 10011
162,201 e 71st st new york ny 10021
163,118 madison st new york ny 10002
164,828 9th ave new york ny 10019
165,220 varick st new york ny 10014
166,2006 3rd ave new york ny 10029
167,263 bowery new york ny 10002
168,12 bowery new york ny 10013
169,94 baxter st new york ny 10013
170,118 eldridge st new york ny 10002
