id,addr
0,160 pearl street new york ny 10005
1,160 activity st  new york ny 10005
2,160 pearl st houston tx 77080
3,608 9th avenue new york ny 10036
4,609 9th ave  new york ny 10036
5,608 9th ave houston tx 77095
6,70 prince street new york ny 10012
7,70 mannheim st  new york ny 10012
8,70 prince st new york ny 10166
9,135 1st avenue new york ny 10003
10,136 1st ave  new york ny 10003
11,135 1st ave new york ny 10106
12,1593 2nd avenue new york ny 10028
13,1593 bacon ave  new york ny 10028
14,1593 2nd ave houston tx 77035
15,251 w 50th street new york ny 10019
16,252 w 50th st  new york ny 10019
17,251 w 50th st new york ny 10279
18,240 e 9th street new york ny 10003
19,240 e division st  new york ny 10003
20,240 e 9th st san jose ca 95135
21,130 saint marns pa new york ny 10009
22,130 ruder marks pl  new york ny 10009
23,130 saint marks pl dallas tx 75244
24,60 wall street lbby 3 new york ny 10005
25,60 tradeway st lbby 3  new york ny 10005
26,60 wall st lbby 3 chicago il 60290
27,105 avenuenue a new york ny 10009
28,106 avenue a  new york ny 10009
29,105 avenue a houston tx 77096
30,22 warren street new york ny 10007
31,23 warren st  new york ny 10007
32,22 warren st houston tx 77009
33,21 mott street # a new york ny 10013
34,21 seasons st # a  new york ny 10013
35,21 mott st # a san antonio tx 78260
36,157 e 28th street new york ny 10016
37,158 e 28th st  new york ny 10016
38,157 e 28th st chicago il 60611
39,250 w 50th street new york ny 10019
40,250 w bird st  new york ny 10019
41,250 w 50th st houston tx 77055
42,428 amsterdam avenue new york ny 10024
43,428 howard ave  new york ny 10024
44,428 amsterdam ave san jose ca 95148
45,244 e 46th street new york ny 10017
46,245 e 46th st  new york ny 10017
47,244 e 46th st san antonio tx 78250
48,1399 madison avenue new york ny 10029
49,1400 madison ave  new york ny 10029
50,1399 madison ave new york ny 10024
51,244 canal street new york ny 10013
52,244 chew st  new york ny 10013
53,244 canal st houston tx 77054
54,888 broadxay new york ny 10003
55,888 ogontz  new york ny 10003
56,888 broadway dallas tx 75211
57,311 w 51st street # 1 new york ny 10019
58,311 w perry st # 1  new york ny 10019
59,311 w 51st st # 1 san diego ca 92105
60,185 orchard street new york ny 10002
61,185 elizabeth st  new york ny 10002
62,185 orchard st new york ny 10017
63,138 w 46th street new york ny 10036
64,139 w 46th st  new york ny 10036
65,138 w 46th st dallas tx 75217
66,1350 avenue of the americas streete 66 new york ny 10010
67,1351 avenue of the americas ste 66  new york ny 10010
68,1350 avenue of the americas ste 66 san antonio tx 78239
69,22 w 45th street new york ny 10036
70,23 w 45th st  new york ny 10036
71,22 w 45th st houston tx 77076
72,310 w broakway new york ny 10013
73,311 w broadway  new york ny 10013
74,310 w broadway san jose ca 95124
75,151 rivington street new york ny 10002
76,151 dayton st  new york ny 10002
77,151 rivington st dallas tx 75215
78,1047 2nd avenue new york ny 10022
79,1048 2nd ave  new york ny 10022
80,1047 2nd ave los angeles ca 90057
81,32 cliff street # 1 new york ny 10038
82,32 chambers st # 1  new york ny 10038
83,32 cliff st # 1 philadelphia pa 19104
84,2 great jones street new york ny 10012
85,3 great jones st  new york ny 10012
86,2 great jones st philadelphia pa 19146
87,226 e 51st street new york ny 10022
88,227 e 51st st  new york ny 10022
89,226 e 51st st houston tx 77011
90,44 w 63rd street new york ny 10023
91,45 w 63rd st  new york ny 10023
92,44 w 63rd st san antonio tx 78264
93,111 lafayette street new york ny 10013
94,112 lafayette st  new york ny 10013
95,111 lafayette st chicago il 60637
96,623 9th avenue new york ny 10036
97,623 mossy ave  new york ny 10036
98,623 9th ave dallas tx 75248
99,529 broome street new york ny 10013
100,530 broome st  new york ny 10013
101,529 broome st chicago il 60660
102,144 e bkoadway new york ny 10002
103,145 e broadway  new york ny 10002
104,144 e broadway san jose ca 95101
105,78 2nd avenue new york ny 10003
106,79 2nd ave  new york ny 10003
107,78 2nd ave chicago il 60609
108,642 9th avenue new york ny 10036
109,642 skyport ave  new york ny 10036
110,642 9th ave new york ny 10178
111,214 e 10th street # b new york ny 10003
112,214 e dewalt st # b  new york ny 10003
113,214 e 10th st # b san antonio tx 78288
114,1582 york avenue new york ny 10028
