dblp_id,google_scholar_id
1909,24847
2080,44932
2509,1509
1451,23335
1817,27315
389,35303
256,63784
994,61486
994,50667
994,37012
1079,55751
1428,64228
1660,39229
579,54147
2583,38767
2135,56521
752,48867
1983,37103
1933,56025
1667,28668
1334,56891
1102,4120
1095,40586
1214,31909
2538,13096
2524,29449
1463,31661
2143,32685
1807,41704
841,20453
1478,6647
1244,50731
300,19965
1891,34941
1697,47874
2581,40484
2349,35351
2349,39736
913,50105
1159,25870
2145,61597
652,59561
811,27456
2375,50182
1443,49977
72,39335
1376,16753
31,47584
775,15983
1092,20495
1990,48524
1652,41909
1254,20320
1481,11043
1105,22885
1834,34498
1015,35679
1622,44858
1436,16971
1200,36937
1985,46030
639,41327
1491,2161
1171,33224
708,52854
1168,17435
9,45049
93,7274
659,29184
1091,61245
1090,7301
1714,22065
1340,53973
1861,64163
203,3526
35,736
2086,29605
1678,53049
1678,17346
540,38576
567,15775
392,40086
2595,46834
1262,50138
1262,45618
1353,60746
1597,38678
296,56875
1361,26389
1705,37544
674,31359
178,4298
1609,7292
2374,10586
1149,58874
1020,37003
182,37919
2501,12710
369,60565
2613,29933
1133,34989
973,50248
366,35315
458,45999
689,29227
1385,57340
593,24315
1235,36755
1384,18609
539,10578
658,35230
1742,36645
2227,30000
1374,43268
2309,55696
1992,62382
2169,6742
2168,10690
867,6930
613,9933
1665,3418
1445,12505
1010,58117
2107,10139
970,39305
1616,9714
211,47337
1433,60506
1675,19902
1586,33525
1642,28133
2534,9400
644,31401
1562,38081
2132,26538
2215,55867
1012,53442
1717,806
1300,36476
1138,15380
308,2805
1399,46711
1646,30169
1035,12975
852,408
1889,1018
1513,38239
1360,11549
2205,54974
201,5335
1089,7819
1559,1922
1559,38352
901,21155
1421,63082
305,27202
761,22910
301,46607
1545,7478
817,30165
565,6170
1462,57842
1416,19863
1192,61354
2162,31093
2068,52438
2193,18279
2188,14775
39,9880
2185,20657
2116,36174
1280,49293
2001,48578
1996,29748
1292,7528
19,18752
61,26465
549,36685
538,63164
726,53592
555,57856
585,63584
490,18559
942,22732
2272,52056
2346,56511
2346,35523
2546,55477
1780,8226
1814,56428
128,24343
1708,34046
866,61629
1813,15125
1386,56687
1660,35698
143,24182
1815,57159
387,16853
26,49916
584,27267
1209,58534
478,56694
79,51893
2524,19667
1539,62840
135,60820
2302,57112
2533,22278
904,32302
677,3716
1011,21272
1512,10635
1691,24972
1913,36900
1913,25429
85,21842
2037,31181
1181,11058
959,12426
837,25574
292,36435
2004,4107
1601,5714
1743,3762
2455,52647
692,52070
665,33028
2186,11257
2502,21135
2421,753
2029,17066
1234,18255
927,14371
763,37838
2284,30790
1481,39413
1073,23667
491,8016
639,31456
1171,48629
2182,3289
536,42283
691,12341
1114,18013
106,24811
1412,56640
1370,59393
1370,49137
494,55269
1281,55119
497,18140
659,2870
1090,52960
1068,20020
1966,8524
2106,51307
1678,63918
1560,8133
2442,46369
2594,17238
1108,35778
1120,50577
1973,14676
110,36491
801,20029
1023,175
1568,51697
1731,59130
1525,28227
1525,38987
1998,25579
1385,61391
1235,23702
1235,41317
1546,2326
1048,17313
556,17198
2332,55458
2468,46429
1623,45634
2219,22006
382,63185
2309,15345
1674,2201
1129,49363
1665,11275
2592,45667
1395,33072
842,37892
1868,57614
1868,5575
248,5152
1404,55371
936,58504
2040,25210
1657,11076
995,36034
1737,59924
2337,56032
2579,4688
2579,1284
1188,927
2244,6025
734,29250
846,42658
18,58016
2075,6033
1821,53275
1738,7894
1725,12346
2248,56285
1368,1114
299,52277
1339,27060
853,10574
1083,7601
843,12160
1466,43586
1298,46772
807,37539
1160,30352
1236,2413
1152,39992
1152,2065
2014,63031
1523,61796
1912,43294
1215,511
1792,21779
1792,61385
126,60281
1954,63847
2105,7265
1248,61491
2054,17170
514,12890
547,20149
571,63337
898,16724
2314,13937
902,19657
2540,32585
2551,48799
2289,49771
2560,49856
1034,18404
1978,1322
2164,42129
1780,59481
1543,18988
2202,22255
1452,41090
2379,17780
198,61696
558,50167
1701,44224
757,49386
2583,60231
66,7556
1470,6469
1772,384
2194,27857
383,33223
1760,23889
1475,53867
904,33719
1734,2457
1626,38058
544,35400
544,30004
1662,31411
1011,41028
1891,56808
619,10805
1482,46092
956,12558
704,32776
2520,15100
1425,33992
1074,47844
2541,22397
1601,60576
192,13744
775,22664
1456,48064
285,15320
1424,33250
611,31398
1417,57170
1668,49704
271,18398
279,11308
2098,20236
1857,32837
1254,17625
420,14348
1834,33731
1834,33962
2354,8820
1436,26148
1278,7574
912,9669
536,38251
1963,26608
521,9732
1598,23490
1438,8468
2460,27615
2460,940
68,16374
1392,48794
745,41147
2298,63027
1541,43979
405,27983
566,11154
1612,15003
1612,35865
1414,43503
932,55845
253,25637
1238,9809
1108,56225
1706,56419
1419,56536
1120,56923
178,29784
828,42599
2374,49792
1020,29242
370,34130
2545,4718
1218,45739
1023,22731
1604,33617
1222,17149
475,24530
101,21928
218,9658
1580,63271
1590,53044
24,44994
304,23632
1663,47064
1656,53280
1656,45351
596,38518
586,53152
1986,468
1301,57628
1868,1470
2039,21551
2099,30372
171,1241
46,9485
714,52022
1774,27401
989,8345
119,23195
131,32384
2371,4524
2579,3973
991,28184
2351,38886
356,50790
356,61754
356,45288
1022,50160
227,54521
1258,61006
1484,7884
1801,45909
960,27440
1596,45306
1329,16306
997,41759
1480,45262
1255,35874
1124,39107
1057,21049
1072,10479
857,26966
1410,33707
276,5494
1833,58802
1373,5118
1298,3136
415,49343
1313,42336
1313,44554
1798,54449
1140,63410
1837,36345
2073,1517
1912,25016
1884,46805
2097,47431
2094,53637
114,39088
1388,56423
2141,11515
2153,10998
6,38997
1573,53768
1208,50976
642,9292
684,18119
1942,63573
207,6853
856,10738
486,56348
499,21548
2565,54174
2489,28636
2535,40174
107,3179
1780,37571
47,12716
1814,58359
1543,29603
1543,25994
1287,51453
591,54129
2277,23836
1458,11210
900,53261
713,63389
962,60878
924,3121
387,3234
1069,28716
1102,9194
584,21488
1209,54508
485,40597
546,62331
99,51471
2274,37353
2368,40052
788,15253
515,57630
1651,2603
956,20499
158,62562
11,60731
2174,14995
600,31289
1365,49905
1618,39437
2048,31299
72,37217
2362,12060
517,32680
1680,17038
2502,2757
12,27639
1938,26578
1849,22463
763,25655
1481,35364
1959,35791
2113,16129
603,41786
2042,10708
451,31696
1171,31156
1326,48165
2182,59948
876,50041
1578,23939
1702,45006
1469,50112
1809,58067
2310,53793
820,9595
95,51361
2008,9829
1100,50509
1541,6874
2030,18418
921,27146
1612,47632
1296,57954
2604,48635
1414,52634
791,9493
168,32180
928,63914
1755,4349
0,10247
832,62085
832,3260
1825,24855
1706,22074
1419,38444
1585,2361
1773,1794
1773,35459
1217,135
797,3128
747,8134
718,17039
1489,19813
1731,46217
1525,39918
1086,49300
851,39652
475,17718
101,9845
1464,62072
669,56347
1998,41865
1302,48988
887,54333
314,38076
2083,7807
2490,11180
1628,28756
2523,51433
1324,46873
570,34481
24,32476
1374,48912
2328,56144
1674,41629
1345,41766
1498,8893
1409,22928
1409,38406
2275,58021
2021,23137
719,6891
1307,4810
842,44986
735,30780
936,55483
1941,19345
472,40006
963,27232
456,57437
171,60990
243,21639
2271,10769
714,41396
1873,6097
1587,45495
1587,23800
1737,14136
1936,7122
513,21851
1562,37447
989,52054
1532,14381
2215,50140
751,7073
1336,14554
939,19697
1727,16230
1717,32875
2537,49843
2351,30150
1953,26107
1268,22587
331,28177
227,36901
2152,53314
2166,25417
1220,50848
1791,58498
2084,12366
1596,57725
1122,24324
949,21146
1421,7606
1421,59956
753,24296
845,30447
915,13443
1454,3722
1245,41505
945,45958
516,61266
651,63251
993,10195
1323,15632
810,43330
822,59931
1416,24558
1982,18057
1528,41380
1192,50474
1977,22420
67,20322
1263,2681
1819,56333
1408,37526
136,25415
1042,57483
2181,16909
239,52795
499,62889
712,14814
1937,21237
674,7525
559,10488
694,13336
102,36988
2301,10631
2467,52029
2557,22286
2428,35418
1284,12753
1508,52556
1978,24348
833,36983
1880,30233
1226,6692
2177,28067
2128,63486
2263,10617
1890,34389
2615,1283
1046,40772
2509,5465
417,8098
351,24352
54,51448
287,62296
1802,37532
2504,11556
994,48069
994,57064
1923,18031
2564,7529
1707,28069
1772,13051
681,19513
307,2509
1688,52317
26,54864
1760,10150
1088,54412
1685,43141
251,11640
399,11813
1740,53192
2259,61480
1266,34770
1159,57016
2247,43317
1682,64229
884,23392
872,46120
2101,4650
57,48058
431,63430
1390,1856
2556,17154
1110,35462
2573,37817
610,14395
535,16218
1424,23224
1097,14081
1417,60173
1417,6792
1990,4837
1990,30126
1990,55879
1634,33758
1125,13278
2010,23315
721,62901
798,55705
2031,41575
883,29969
1702,35932
56,3408
673,38353
2015,40508
602,60568
1389,17730
1155,9692
2513,62565
2449,30020
139,46128
1067,11407
2321,37458
2373,4821
1419,33353
1120,30736
674,42517
294,42513
1217,26178
1093,44464
1786,256
442,30128
2252,55696
2383,13223
2383,39172
1874,27412
