_id,l_id,r_id
0,119,14100
1,128,14100
2,137,14100
3,169,14100
4,201,14100
5,403,14100
6,717,14100
7,751,14100
8,762,14100
9,836,14100
10,884,14100
11,1163,14100
12,1185,14100
13,1447,14100
14,1769,14100
15,1906,14100
16,2013,14100
17,2367,14100
18,2382,14100
19,2483,14100
20,183,3944
21,258,3944
22,357,3944
23,432,3944
24,922,3944
25,936,3944
26,1352,3944
27,1555,3944
28,1737,3944
29,1746,3944
30,1758,3944
31,1973,3944
32,2035,3944
33,2037,3944
34,2265,3944
35,2307,3944
36,2346,3944
37,2511,3944
38,2589,3944
39,2609,3944
40,31,40452
41,219,40452
42,438,40452
43,678,40452
44,710,40452
45,899,40452
46,1078,40452
47,1128,40452
48,1134,40452
49,1197,40452
50,1366,40452
51,1667,40452
52,1756,40452
53,1926,40452
54,1931,40452
55,2107,40452
56,2165,40452
57,2171,40452
58,2215,40452
59,2285,40452
60,18,17960
61,420,17960
62,444,17960
63,512,17960
64,709,17960
65,757,17960
66,1019,17960
67,1096,17960
68,1102,17960
69,1182,17960
70,1281,17960
71,1370,17960
72,1475,17960
73,1480,17960
74,1650,17960
75,2058,17960
76,2157,17960
77,2277,17960
78,2328,17960
79,2615,17960
80,28,37158
81,85,37158
82,795,37158
83,797,37158
84,805,37158
85,806,37158
86,862,37158
87,950,37158
88,971,37158
89,982,37158
90,1229,37158
91,1449,37158
92,1466,37158
93,1468,37158
94,1645,37158
95,1818,37158
96,1851,37158
97,1905,37158
98,1965,37158
99,2394,37158
100,44,40353
101,45,40353
102,109,40353
103,111,40353
104,351,40353
105,444,40353
106,472,40353
107,718,40353
108,1021,40353
109,1113,40353
110,1295,40353
111,1453,40353
112,1498,40353
113,1558,40353
114,1670,40353
115,1966,40353
116,2158,40353
117,2405,40353
118,2500,40353
119,2615,40353
120,182,26638
121,387,26638
122,505,26638
123,535,26638
124,560,26638
125,718,26638
126,753,26638
127,975,26638
128,1231,26638
129,1277,26638
130,1281,26638
